title,author,publication_time,link
Заметки в своём GitHub без сервера: как я оживил BatNoter и написал синхронизацию на Git Data API,Perruer,"2026-09-24, 13:19",https://habr.com/ru/articles/1086244/
Помните исследование про «ИИ замедляет на 19%»? Его повторили — и оно сломалось,Igoryas,"2026-09-24, 13:16",https://habr.com/ru/companies/domclick/articles/1085232/
"Есть время, ум и деньги: почему социальные танцы — идеальное хобби для ИТ-специалистов",MegaplanCEO,"2026-09-24, 13:14",https://habr.com/ru/articles/1085626/
Как я всё‑таки опубликовала игру в Google Play из России,DashaModels,"2026-09-24, 13:11",https://habr.com/ru/articles/1086240/
"AI пишет код быстрее, но ревью становится тяжелее: откуда берётся когнитивный долг",kmoseenk,"2026-09-24, 13:10",https://habr.com/ru/companies/otus/articles/1085730/
Пять шагов Илона Маска для улучшения процессов,AlexRussianPyth,"2026-09-24, 13:10",https://habr.com/ru/articles/1082692/
ИИ заберёт тексты и код. Но это никогда не было главной работой человека. Часть 3,freyapero,"2026-09-24, 13:09",https://habr.com/ru/companies/X5Tech/articles/1063486/
"Шахматы голосом: как объяснить Алисе ход, если игрок не видит доску",blaryx,"2026-09-24, 13:04",https://habr.com/ru/articles/1086234/
"Как взвесить чужой репозиторий, не запуская его: 138 проектов из трендов GitHub",Aleksandr_NFA,"2026-09-24, 13:03",https://habr.com/ru/articles/1086232/
"Как найти лишние процессы, открытые порты и подозрительные соединения на VDS",SrvTrantor,"2026-09-24, 13:02",https://habr.com/ru/companies/ruvds/articles/1085206/
"Квесты, собаки, прод и немного удачи. Как мы стали командой",316rock,"2026-09-24, 13:00",https://habr.com/ru/articles/1086196/
От localStorage к HttpOnly Cookie. Как меняется архитектура авторизации в SPA,4Nun4ku,"2026-09-24, 13:00",https://habr.com/ru/companies/gnivc/articles/1082540/
"Миллионы объектов со стабильными адресами, или как удержать состояние под строгим RT дедлайном цикла",momentics,"2026-09-24, 12:44",https://habr.com/ru/articles/1086212/
VK Data Platform под капотом: как устроена платформа для Data Lakehouse,qqrew,"2026-09-24, 12:40",https://habr.com/ru/companies/vktech/articles/1086190/
FASt: как я написал приложение для создания ассет паков для Flipper Zero и чуть не сошёл с ума из‑за китайских флешек,D13young,"2026-09-24, 12:39",https://habr.com/ru/articles/1086206/
"Плагин 1С в Алисе AI яндекс для бизнеса: теперь ИИ ходит в 1С, получает данные и отвечает пользователям",Anoviul,"2026-09-24, 12:36",https://habr.com/ru/articles/1086200/
Невидимые изменения в службах каталогов: почему нельзя доверять журналам аудита,AlexTsvetkoff,"2026-09-24, 12:33",https://habr.com/ru/companies/infowatch/articles/1085678/
Строим продвинутый каркас для ИИ-агента,eds88,"2026-09-24, 12:32",https://habr.com/ru/companies/ostrovok/articles/1084568/
Почему RAG не умеет в Excel,NoHatus,"2026-09-24, 12:28",https://habr.com/ru/articles/1086194/
